Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume,Primer
PrimerPlate,A13,BAOsPCR3p00060,A1,250,H5 2/3-4
PrimerPlate,G1,BAOsPCR3p00060,A2,250,K5 3-1
PrimerPlate,A15,BAOsPCR3p00060,A3,250,H5 3-10
PrimerPlate,G9,BAOsPCR3p00060,A4,250,K5 3-5
PrimerPlate,A9,BAOsPCR3p00060,A5,250,H5 2/3-3
PrimerPlate,G19,BAOsPCR3p00060,A6,250,K5 3-10
PrimerPlate,A9,BAOsPCR3p00060,A7,250,H5 2/3-3
PrimerPlate,G11,BAOsPCR3p00060,A8,250,K5 3-6
PrimerPlate,A7,BAOsPCR3p00060,A9,250,H5 2/3-2
PrimerPlate,G1,BAOsPCR3p00060,A10,250,K5 3-1
PrimerPlate,A15,BAOsPCR3p00060,A11,250,H5 3-10
PrimerPlate,K1,BAOsPCR3p00060,A12,250,L5 2/3-1
PrimerPlate,A19,BAOsPCR3p00060,B1,250,H5 2/3-6
PrimerPlate,G9,BAOsPCR3p00060,B2,250,K5 3-5
PrimerPlate,C1,BAOsPCR3p00060,B3,250,H5 3-14
PrimerPlate,G1,BAOsPCR3p00060,B4,250,K5 3-1
PrimerPlate,A13,BAOsPCR3p00060,B5,250,H5 2/3-4
PrimerPlate,G5,BAOsPCR3p00060,B6,250,K5 3-3
PrimerPlate,A15,BAOsPCR3p00060,B7,250,H5 3-10
PrimerPlate,G17,BAOsPCR3p00060,B8,250,K5 3-9
PrimerPlate,A9,BAOsPCR3p00060,B9,250,H5 2/3-3
PrimerPlate,G7,BAOsPCR3p00060,B10,250,K5 3-4
PrimerPlate,A7,BAOsPCR3p00060,B11,250,H5 2/3-2
PrimerPlate,K3,BAOsPCR3p00060,B12,250,L5 2/3-2
PrimerPlate,A15,BAOsPCR3p00060,C1,250,H5 3-10
PrimerPlate,G9,BAOsPCR3p00060,C2,250,K5 3-5
PrimerPlate,A15,BAOsPCR3p00060,C3,250,H5 3-10
PrimerPlate,K3,BAOsPCR3p00060,C4,250,L5 2/3-2
PrimerPlate,A1,BAOsPCR3p00060,C5,250,H5 2/3-1
PrimerPlate,K1,BAOsPCR3p00060,C6,250,L5 2/3-1
PrimerPlate,A15,BAOsPCR3p00060,C7,250,H5 3-10
PrimerPlate,G17,BAOsPCR3p00060,C8,250,K5 3-9
PrimerPlate,A15,BAOsPCR3p00060,C9,250,H5 3-10
PrimerPlate,K3,BAOsPCR3p00060,C10,250,L5 2/3-2
PrimerPlate,A3,BAOsPCR3p00060,C11,250,H5 3-7
PrimerPlate,G1,BAOsPCR3p00060,C12,250,K5 3-1
PrimerPlate,K3,BAOsPCR3p00060,D1,250,L5 2/3-2
PrimerPlate,A21,BAOsPCR3p00060,D2,250,H5 3-11
PrimerPlate,G19,BAOsPCR3p00060,D3,250,K5 3-10
PrimerPlate,A3,BAOsPCR3p00060,D4,250,H5 3-7
PrimerPlate,G1,BAOsPCR3p00060,D5,250,K5 3-1
PrimerPlate,A9,BAOsPCR3p00060,D6,250,H5 2/3-3
PrimerPlate,K3,BAOsPCR3p00060,D7,250,L5 2/3-2
PrimerPlate,A19,BAOsPCR3p00060,D8,250,H5 2/3-6
PrimerPlate,G9,BAOsPCR3p00060,D9,250,K5 3-5
PrimerPlate,A11,BAOsPCR3p00060,D10,250,H5 3-9
PrimerPlate,G1,BAOsPCR3p00060,D11,250,K5 3-1
PrimerPlate,A15,BAOsPCR3p00060,D12,250,H5 3-10
PrimerPlate,G17,BAOsPCR3p00060,E1,250,K5 3-9
PrimerPlate,A7,BAOsPCR3p00060,E2,250,H5 2/3-2
PrimerPlate,K1,BAOsPCR3p00060,E3,250,L5 2/3-1
PrimerPlate,C1,BAOsPCR3p00060,E4,250,H5 3-14
PrimerPlate,G1,BAOsPCR3p00060,E5,250,K5 3-1
PrimerPlate,A21,BAOsPCR3p00060,E6,250,H5 3-11
PrimerPlate,K3,BAOsPCR3p00060,E7,250,L5 2/3-2
PrimerPlate,A17,BAOsPCR3p00060,E8,250,H5 2/3-5
PrimerPlate,G13,BAOsPCR3p00060,E9,250,K5 3-7
PrimerPlate,A7,BAOsPCR3p00060,E10,250,H5 2/3-2
PrimerPlate,G19,BAOsPCR3p00060,E11,250,K5 3-10
PrimerPlate,A15,BAOsPCR3p00060,E12,250,H5 3-10
PrimerPlate,G1,BAOsPCR3p00060,F1,250,K5 3-1
PrimerPlate,A15,BAOsPCR3p00060,F2,250,H5 3-10
PrimerPlate,K3,BAOsPCR3p00060,F3,250,L5 2/3-2
PrimerPlate,A9,BAOsPCR3p00060,F4,250,H5 2/3-3
PrimerPlate,G1,BAOsPCR3p00060,F5,250,K5 3-1
PrimerPlate,A15,BAOsPCR3p00060,F6,250,H5 3-10
PrimerPlate,K3,BAOsPCR3p00060,F7,250,L5 2/3-2
PrimerPlate,A15,BAOsPCR3p00060,F8,250,H5 3-10
PrimerPlate,K3,BAOsPCR3p00060,F9,250,L5 2/3-2
PrimerPlate,A15,BAOsPCR3p00060,F10,250,H5 3-10
PrimerPlate,G13,BAOsPCR3p00060,F11,250,K5 3-7
PrimerPlate,A17,BAOsPCR3p00060,F12,250,H5 2/3-5
PrimerPlate,G13,BAOsPCR3p00060,G1,250,K5 3-7
PrimerPlate,A9,BAOsPCR3p00060,G2,250,H5 2/3-3
PrimerPlate,K1,BAOsPCR3p00060,G3,250,L5 2/3-1
PrimerPlate,A9,BAOsPCR3p00060,G4,250,H5 2/3-3
PrimerPlate,K9,BAOsPCR3p00060,G5,250,L5 2/3-5
PrimerPlate,A13,BAOsPCR3p00060,G6,250,H5 2/3-4
PrimerPlate,M11,BAOsPCR3p00060,G7,250,L5 3-12
PrimerPlate,A9,BAOsPCR3p00060,G8,250,H5 2/3-3
PrimerPlate,K1,BAOsPCR3p00060,G9,250,L5 2/3-1
PrimerPlate,A13,BAOsPCR3p00060,G10,250,H5 2/3-4
PrimerPlate,G17,BAOsPCR3p00060,G11,250,K5 3-9
PrimerPlate,A9,BAOsPCR3p00060,G12,250,H5 2/3-3
PrimerPlate,G15,BAOsPCR3p00060,H1,250,K5 3-8
PrimerPlate,A9,BAOsPCR3p00060,H2,250,H5 2/3-3
PrimerPlate,G19,BAOsPCR3p00060,H3,250,K5 3-10
PrimerPlate,A15,BAOsPCR3p00060,H4,250,H5 3-10
PrimerPlate,K1,BAOsPCR3p00060,H5,250,L5 2/3-1
PrimerPlate,A9,BAOsPCR3p00060,H6,250,H5 2/3-3
PrimerPlate,G1,BAOsPCR3p00060,H7,250,K5 3-1
PrimerPlate,A7,BAOsPCR3p00060,H8,250,H5 2/3-2
PrimerPlate,G17,BAOsPCR3p00060,H9,250,K5 3-9
PrimerPlate,A9,BAOsPCR3p00060,H10,250,H5 2/3-3
PrimerPlate,G7,BAOsPCR3p00060,H11,250,K5 3-4
PrimerPlate,A9,BAOsPCR3p00060,H12,250,H5 2/3-3
PrimerPlate,E1,BAOsPCR3p00060,A1,250,H3 3-1
PrimerPlate,I7,BAOsPCR3p00060,A2,250,K3 3-4
PrimerPlate,E1,BAOsPCR3p00060,A3,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00060,A4,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00060,A5,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,A6,250,K3 3-1
PrimerPlate,E5,BAOsPCR3p00060,A7,250,H3 3-3
PrimerPlate,I3,BAOsPCR3p00060,A8,250,K3 3-2
PrimerPlate,E3,BAOsPCR3p00060,A9,250,H3 3-2
PrimerPlate,I1,BAOsPCR3p00060,A10,250,K3 3-1
PrimerPlate,E5,BAOsPCR3p00060,A11,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00060,A12,250,L3 2/3
PrimerPlate,E3,BAOsPCR3p00060,B1,250,H3 3-2
PrimerPlate,I1,BAOsPCR3p00060,B2,250,K3 3-1
PrimerPlate,E5,BAOsPCR3p00060,B3,250,H3 3-3
PrimerPlate,I5,BAOsPCR3p00060,B4,250,K3 3-3
PrimerPlate,E1,BAOsPCR3p00060,B5,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00060,B6,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00060,B7,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,B8,250,K3 3-1
PrimerPlate,E5,BAOsPCR3p00060,B9,250,H3 3-3
PrimerPlate,I3,BAOsPCR3p00060,B10,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00060,B11,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,B12,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00060,C1,250,H3 3-3
PrimerPlate,I3,BAOsPCR3p00060,C2,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00060,C3,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,C4,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00060,C5,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,C6,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00060,C7,250,H3 3-3
PrimerPlate,I3,BAOsPCR3p00060,C8,250,K3 3-2
PrimerPlate,E5,BAOsPCR3p00060,C9,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00060,C10,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00060,C11,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,C12,250,K3 3-1
PrimerPlate,K13,BAOsPCR3p00060,D1,250,L3 2/3
PrimerPlate,E3,BAOsPCR3p00060,D2,250,H3 3-2
PrimerPlate,I7,BAOsPCR3p00060,D3,250,K3 3-4
PrimerPlate,E3,BAOsPCR3p00060,D4,250,H3 3-2
PrimerPlate,I1,BAOsPCR3p00060,D5,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,D6,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,D7,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00060,D8,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,D9,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,D10,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00060,D11,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00060,D12,250,H3 3-1
PrimerPlate,I7,BAOsPCR3p00060,E1,250,K3 3-4
PrimerPlate,E5,BAOsPCR3p00060,E2,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00060,E3,250,L3 2/3
PrimerPlate,E3,BAOsPCR3p00060,E4,250,H3 3-2
PrimerPlate,I1,BAOsPCR3p00060,E5,250,K3 3-1
PrimerPlate,E5,BAOsPCR3p00060,E6,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00060,E7,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00060,E8,250,H3 3-1
PrimerPlate,I5,BAOsPCR3p00060,E9,250,K3 3-3
PrimerPlate,E1,BAOsPCR3p00060,E10,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,E11,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,E12,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,F1,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,F2,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,F3,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00060,F4,250,H3 3-3
PrimerPlate,I1,BAOsPCR3p00060,F5,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,F6,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,F7,250,L3 2/3
PrimerPlate,E3,BAOsPCR3p00060,F8,250,H3 3-2
PrimerPlate,K13,BAOsPCR3p00060,F9,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00060,F10,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,F11,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,F12,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,G1,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,G2,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,G3,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00060,G4,250,H3 3-3
PrimerPlate,K13,BAOsPCR3p00060,G5,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00060,G6,250,H3 3-1
PrimerPlate,K13,BAOsPCR3p00060,G7,250,L3 2/3
PrimerPlate,E3,BAOsPCR3p00060,G8,250,H3 3-2
PrimerPlate,K13,BAOsPCR3p00060,G9,250,L3 2/3
PrimerPlate,E5,BAOsPCR3p00060,G10,250,H3 3-3
PrimerPlate,I1,BAOsPCR3p00060,G11,250,K3 3-1
PrimerPlate,E1,BAOsPCR3p00060,G12,250,H3 3-1
PrimerPlate,I3,BAOsPCR3p00060,H1,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00060,H2,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,H3,250,K3 3-1
PrimerPlate,E3,BAOsPCR3p00060,H4,250,H3 3-2
PrimerPlate,K13,BAOsPCR3p00060,H5,250,L3 2/3
PrimerPlate,E1,BAOsPCR3p00060,H6,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,H7,250,K3 3-1
PrimerPlate,E3,BAOsPCR3p00060,H8,250,H3 3-2
PrimerPlate,I3,BAOsPCR3p00060,H9,250,K3 3-2
PrimerPlate,E1,BAOsPCR3p00060,H10,250,H3 3-1
PrimerPlate,I1,BAOsPCR3p00060,H11,250,K3 3-1
PrimerPlate,E3,BAOsPCR3p00060,H12,250,H3 3-2
